Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
0,Do nothing,1.0,1.4961802,1.4961802
4,Encourage individual learning,1.0,1.34656218,1.64579822
4,Encourage individual learning,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
2,Increase Threshold for Replacement,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
0,Do nothing,1.0,1.2119059620000001,1.8103780420000002
