103,74,89,83,79,81,76,98,94,139,84
74,89,74,78,78,76,71,85,67,227,81
68,63,70,97,65,62,59,53,83,315,65
61,71,129,78,83,82,158,67,70,133,68
59,59,85,54,216,71,201,52,52,44,107
62,65,204,69,106,65,94,38,99,47,151
51,43,156,65,163,55,105,57,110,51,144
36,51,135,47,138,39,99,55,111,36,253
44,65,209,58,72,33,207,35,84,43,150
28,36,269,54,34,39,90,25,181,32,212
23,26,168,26,69,28,157,29,149,42,283
26,46,35,26,91,46,133,31,181,80,305
23,15,32,21,83,24,118,18,224,27,415
15,31,77,17,251,18,160,15,100,21,295
14,39,101,25,135,28,128,19,147,31,333
12,85,173,76,134,27,144,21,95,68,165
15,27,125,24,150,15,73,27,261,18,265
9,14,153,16,154,21,102,21,239,22,249
15,43,179,32,197,11,194,29,212,27,61
15,15,125,16,114,32,280,24,118,26,235
22,14,147,56,104,20,217,21,158,84,157
8,30,192,24,76,22,217,25,101,40,265
12,14,108,8,108,50,258,32,80,78,252
6,23,101,8,147,14,174,22,234,17,254
22,39,260,28,83,10,171,37,129,27,194
12,11,232,22,62,14,212,34,115,78,208
29,8,193,5,87,6,204,19,52,44,353
13,16,239,12,94,18,191,30,135,55,197
14,17,150,16,111,14,178,43,162,23,272
10,17,290,10,83,5,171,24,78,53,259
8,27,370,8,56,15,168,16,98,27,207
10,29,286,6,210,5,164,25,81,19,165
12,18,319,15,85,9,180,11,60,46,245
5,34,350,5,61,4,81,14,117,15,314
7,19,238,5,160,10,173,23,90,53,222
13,18,199,4,155,3,171,21,56,46,314
6,21,294,0,146,11,168,10,58,20,266
24,16,149,26,141,4,211,11,54,41,323
3,10,260,17,158,7,157,4,27,24,333
0,13,157,31,179,26,180,12,71,42,289
