329,61,30,23,29,49,40,30,42,38,37,47,30,29,46,37,33,36,34
42,91,42,48,49,93,43,47,43,50,40,58,51,44,69,43,49,52,46
44,121,45,50,39,113,44,58,36,41,45,98,30,44,53,31,39,35,34
32,141,32,35,42,155,35,55,43,38,35,91,27,31,64,35,36,37,36
33,173,28,24,32,142,31,62,32,30,36,107,25,43,70,30,38,27,37
30,29,44,35,147,31,71,77,23,53,29,36,27,74,139,20,72,37,26
19,21,23,23,294,28,21,155,19,28,24,26,24,91,29,22,106,23,24
27,32,23,19,118,22,22,279,21,23,22,24,20,25,23,26,235,21,18
20,19,12,20,365,18,16,72,16,22,19,15,23,135,17,15,174,10,12
15,14,23,17,177,24,24,392,11,17,19,24,15,24,14,21,123,17,29
19,14,43,16,139,13,13,314,10,14,12,14,23,81,8,11,220,18,18
12,2,20,3,163,17,19,208,17,15,9,10,16,30,16,19,392,15,17
16,15,28,13,205,16,11,169,11,12,18,8,10,41,9,12,388,7,11
6,15,39,13,118,12,15,271,11,24,5,7,8,63,11,11,344,19,8
7,33,33,10,86,11,12,270,8,9,6,28,12,74,9,7,366,8,11
14,22,31,10,88,47,6,57,22,23,10,9,11,220,5,7,387,9,22
11,8,9,8,6,3,8,644,6,11,8,7,7,169,5,3,73,9,5
3,4,7,15,108,7,4,399,5,6,11,6,7,157,9,7,225,11,9
6,7,26,10,131,15,3,277,9,5,12,7,13,94,2,4,361,7,11
5,8,55,1,325,4,8,160,4,5,7,6,11,148,3,3,240,3,4
4,3,166,8,170,8,3,133,7,3,1,4,8,258,5,5,203,7,4
8,22,40,6,107,5,26,200,2,17,5,19,4,295,70,11,157,3,3
1,21,51,1,172,14,5,180,1,21,6,8,2,269,9,5,232,1,1
3,19,61,3,133,22,2,127,5,5,7,9,7,251,5,1,308,1,31
6,96,80,3,135,14,4,123,2,16,1,6,4,182,19,5,238,4,62
9,56,61,0,132,16,6,162,10,15,4,6,2,180,39,46,248,2,6
64,15,83,2,126,5,1,159,2,46,3,5,2,86,63,32,136,74,96
90,75,51,2,161,9,2,140,1,16,3,16,2,73,103,7,224,4,21
34,79,39,1,320,8,4,145,2,7,4,6,2,196,22,49,78,3,1
16,59,15,2,292,8,2,116,2,4,1,18,1,119,29,4,297,8,7
7,77,36,0,159,20,1,239,1,3,1,5,3,108,27,57,223,6,27
3,29,30,2,146,8,14,162,12,2,4,37,6,90,1,110,229,43,72
65,15,50,1,163,4,2,98,1,5,5,6,1,307,20,2,242,6,7
25,10,28,1,187,7,2,163,4,15,4,5,0,165,3,78,284,6,13
15,2,38,2,155,1,2,229,3,12,1,3,2,70,43,131,232,13,46
19,11,14,3,212,35,0,318,5,1,0,7,2,16,43,4,205,0,105
3,24,37,2,187,27,0,394,4,1,0,2,3,78,21,13,147,14,43
6,4,128,1,175,6,1,352,15,2,0,5,1,27,21,42,114,55,45
10,14,71,1,317,3,7,291,10,26,1,0,0,68,10,7,108,34,22
4,7,31,1,292,4,0,349,4,2,0,0,2,75,33,2,154,11,29
