78,76,88,85,129,87,98,103,91,81,84
75,74,91,66,189,70,94,85,71,84,101
65,65,81,79,270,75,65,59,78,65,98
57,57,68,56,115,67,65,53,49,59,354
33,53,48,44,51,48,53,60,49,49,512
45,44,49,42,46,66,45,47,45,49,522
40,53,575,50,39,42,34,43,42,48,34
49,31,629,39,33,42,36,33,35,31,42
26,26,592,36,34,39,21,35,29,43,119
23,40,441,30,25,30,29,33,25,28,296
25,35,224,38,29,19,74,29,27,21,479
26,18,471,29,23,18,23,30,311,28,23
17,13,465,24,18,17,117,25,21,27,256
19,18,553,13,12,24,23,28,20,16,274
14,21,283,12,11,15,19,13,30,18,564
13,8,521,16,18,10,227,5,14,19,149
12,6,7,9,10,17,820,15,15,14,75
10,10,216,17,13,12,624,13,8,6,71
9,10,138,20,13,10,733,9,35,15,8
6,10,7,5,8,11,909,8,10,10,16
10,6,116,6,6,5,801,2,10,11,27
6,71,6,8,3,8,858,9,9,11,11
11,641,45,12,6,9,231,5,8,9,23
3,159,359,7,5,5,427,3,11,7,14
6,6,8,7,4,5,940,2,8,10,4
3,3,2,10,4,3,952,2,8,8,5
5,6,71,1,5,3,858,4,9,3,35
6,1,7,3,4,4,436,4,2,2,531
3,5,9,5,23,3,556,2,90,3,301
5,10,0,4,5,6,894,4,3,3,66
4,4,212,6,293,1,469,2,4,0,5
3,2,2,2,2,2,980,1,3,3,0
4,2,3,2,4,0,981,1,2,0,1
2,3,1,0,1,4,974,2,3,2,8
2,3,1,6,2,0,934,1,2,3,46
2,0,17,3,2,0,964,2,4,5,1
3,1,2,6,2,0,358,2,3,3,620
1,2,0,2,2,5,497,2,2,1,486
1,1,0,2,2,1,985,2,1,2,3
2,0,0,0,3,3,988,2,0,2,0
